worst,singl,multi,n
6,4,5,6
7,4,5,7
7,4,5,8
8,5,5,9
8,5,6,10
9,5,6,12
10,5,6,15
11,5,7,18
13,5,7,23
15,5,8,29
16,5,8,36
18,5,8,44
20,5,9,55
22,5,9,68
25,5,9,84
28,5,9,105
31,5,9,130
34,5,9,161
