worst,singl,multi,n
5,5,5,5
6,6,6,6
6,6,6,7
7,7,7,8
7,7,7,9
8,7,8,10
9,8,8,12
10,8,9,15
11,9,10,18
13,9,11,23
14,9,12,29
16,9,13,36
18,9,14,44
20,9,15,55
22,9,15,68
25,9,16,84
28,9,16,105
31,9,16,130
34,9,17,161
38,9,17,199
43,9,17,249
