worst,singl,multi,n
6,4,4,6
7,4,4,7
8,4,5,8
8,5,5,9
8,5,6,10
9,5,6,12
11,5,7,15
12,5,7,18
13,5,7,23
15,5,8,29
17,5,8,36
18,5,9,44
20,5,9,55
23,5,9,68
25,5,9,84
28,5,9,105
31,5,9,130
