worst,singl,multi,n
4,4,3,5
4,4,4,6
5,4,4,7
5,4,5,8
5,5,5,9
6,5,5,10
6,5,6,12
7,5,6,15
7,5,7,18
8,5,7,23
9,5,7,29
11,5,8,36
12,5,8,44
13,5,8,55
15,5,9,68
16,5,9,84
18,5,9,105
20,5,9,130
22,5,9,161
25,5,9,198
27,5,9,248
