worst,singl,multi,n
3,3,3,5
3,3,3,6
4,3,3,7
4,3,4,8
4,3,4,9
4,3,4,10
5,3,4,12
5,3,5,15
6,3,5,18
6,3,5,23
7,3,5,29
8,3,6,36
9,3,6,44
10,3,6,55
11,3,6,68
12,3,6,84
14,3,6,105
15,3,6,130
17,3,6,161
