worst,singl,multi,n
6,4,4,6
7,4,4,7
7,4,5,8
8,4,5,9
8,4,5,10
9,4,6,12
10,4,6,15
11,4,7,18
13,4,7,23
14,4,7,29
16,4,8,36
18,4,8,44
20,4,8,55
22,4,8,68
24,4,8,84
