worst,singl,multi,n
3,3,3,5
4,3,4,6
4,4,4,7
4,4,4,8
5,4,5,9
5,4,5,10
6,4,5,12
6,4,6,15
7,4,6,18
8,4,7,23
9,4,7,29
10,4,7,36
11,4,7,44
12,4,8,55
14,4,8,68
15,4,8,84
