worst,singl,multi,n
4,4,4,5
4,4,4,6
5,4,4,7
5,4,5,8
5,5,5,9
6,5,6,10
6,5,6,12
7,5,6,15
8,5,7,18
9,5,7,23
10,5,8,29
11,5,8,36
12,5,8,44
13,5,9,55
15,5,9,68
16,5,9,84
18,5,9,105
20,5,9,130
23,5,9,161
25,5,9,198
28,5,9,248
31,5,9,310
