worst,singl,multi,n
6,4,4,6
7,4,4,7
7,4,5,8
8,4,5,9
8,4,6,10
9,4,6,12
11,4,7,15
12,4,7,18
13,4,7,23
15,4,8,29
16,4,8,36
18,4,8,44
20,4,9,55
22,4,9,68
25,4,9,84
28,4,9,105
31,4,9,130
34,4,9,161
38,4,9,198
