worst,singl,multi,n
4,4,3,5
4,4,4,6
5,4,4,7
5,4,4,8
5,4,5,9
5,5,5,10
6,5,5,12
7,5,6,15
7,5,6,18
8,5,7,23
9,5,7,29
10,5,7,36
11,5,7,44
12,5,8,55
13,5,8,68
15,5,8,84
