worst,singl,multi,n
11,11,11,5
13,13,13,6
15,15,15,7
16,16,16,8
17,17,17,9
18,18,18,10
21,21,21,12
24,24,24,15
26,26,26,18
30,30,30,23
34,34,34,29
39,39,39,36
43,43,43,44
48,48,48,55
54,54,54,68
60,60,60,84
